iter	Passed	Remaining
0	55	55769
1	56	28144
2	56	18920
3	57	14270
4	57	11468
5	57	9605
6	58	8265
7	58	7277
8	59	6502
9	59	5888
10	59	5372
11	60	4957
12	60	4594
13	60	4289
14	61	4022
15	61	3794
16	62	3585
17	62	3398
18	62	3230
19	62	3084
20	63	2954
21	63	2833
22	64	2719
23	64	2615
24	64	2519
25	64	2433
26	65	2351
27	65	2280
28	65	2209
29	66	2149
30	66	2087
31	67	2029
32	67	1974
33	67	1922
34	67	1873
35	68	1832
36	68	1789
37	69	1748
38	69	1709
39	69	1672
40	70	1637
41	70	1603
42	70	1573
43	71	1542
44	71	1513
45	71	1485
46	71	1457
47	72	1432
48	72	1409
49	72	1385
50	73	1362
51	73	1339
52	73	1317
53	74	1297
54	74	1277
55	74	1258
56	75	1241
57	75	1225
58	75	1209
59	76	1192
60	76	1176
61	76	1161
62	77	1146
63	77	1131
64	77	1116
65	77	1102
66	78	1090
67	78	1075
68	78	1063
69	79	1051
70	79	1040
71	79	1028
72	80	1017
73	80	1007
74	80	998
75	81	988
76	81	978
77	81	968
78	82	960
79	82	950
80	82	941
81	83	932
82	83	924
83	84	916
84	84	907
85	84	899
86	84	889
87	85	882
88	85	874
89	85	867
90	86	860
91	86	854
92	86	847
93	87	840
94	87	833
95	87	826
96	88	820
97	88	814
98	88	808
99	89	801
100	89	795
101	89	788
102	89	782
103	90	777
104	90	772
105	90	766
106	91	761
107	91	757
108	92	752
109	92	747
110	92	743
111	93	738
112	93	732
113	93	728
114	93	723
115	94	717
116	94	712
117	94	708
118	95	704
119	95	699
120	95	695
121	95	690
122	96	685
123	96	680
124	96	676
125	97	672
126	97	669
127	97	664
128	97	660
129	98	657
130	98	653
131	98	649
132	99	646
133	99	643
134	100	641
135	100	637
136	100	634
137	100	630
138	101	628
139	101	625
140	102	622
141	102	619
142	102	615
143	103	612
144	103	610
145	103	607
146	104	604
147	104	601
148	104	598
149	105	595
150	105	593
151	105	590
152	106	587
153	106	584
154	106	581
155	107	579
156	107	576
157	107	573
158	108	571
159	108	569
160	108	566
161	109	564
162	109	561
163	109	559
164	110	557
165	110	554
166	110	552
167	111	550
168	111	547
169	111	545
170	112	543
171	112	541
172	112	539
173	113	537
174	113	535
175	113	533
176	114	531
177	114	529
178	114	527
179	115	525
180	115	522
181	115	520
182	115	517
183	116	515
184	116	513
185	116	511
186	117	509
187	117	508
188	117	506
189	118	504
190	118	503
191	119	501
192	119	499
193	119	498
194	120	496
195	120	494
196	120	492
197	121	490
198	121	489
199	121	487
200	122	485
201	122	483
202	122	481
203	122	479
204	123	478
205	123	476
206	123	474
207	124	473
208	124	471
209	124	470
210	125	468
211	125	466
212	125	465
213	126	463
214	126	461
215	126	460
216	127	458
217	127	457
218	127	455
219	128	454
220	128	452
221	128	450
222	128	449
223	129	447
224	129	446
225	129	444
226	130	443
227	130	441
228	130	440
229	131	439
230	131	438
231	132	437
232	132	436
233	132	435
234	133	433
235	133	432
236	133	431
237	134	430
