iter	Passed	Remaining
0	57	57668
1	58	29002
2	58	19501
3	59	14699
4	59	11808
5	59	9909
6	60	8547
7	60	7524
8	61	6723
9	61	6080
10	61	5551
11	62	5121
12	62	4747
13	62	4432
14	63	4155
15	63	3914
16	64	3706
17	64	3512
18	64	3349
19	65	3203
20	65	3064
21	66	2940
22	66	2823
23	66	2718
24	67	2621
25	67	2529
26	67	2448
27	68	2368
28	68	2296
29	68	2228
30	69	2166
31	69	2107
32	70	2051
33	70	2001
34	70	1951
35	71	1904
36	71	1862
37	72	1823
38	72	1784
39	72	1746
40	73	1709
41	73	1675
42	73	1642
43	74	1611
44	74	1581
45	74	1551
46	75	1523
47	75	1496
48	75	1471
49	76	1448
50	76	1426
51	76	1403
52	77	1382
53	77	1361
54	78	1342
55	78	1321
56	78	1302
57	79	1286
58	79	1268
59	79	1252
60	80	1234
61	80	1218
62	80	1204
63	81	1188
64	81	1173
65	81	1160
66	82	1145
67	82	1134
68	83	1120
69	83	1107
70	83	1096
71	84	1084
72	84	1072
73	84	1061
74	85	1050
75	85	1040
76	85	1029
77	86	1021
78	86	1012
79	87	1002
80	87	992
81	87	983
82	87	972
83	88	963
84	88	955
85	89	947
86	89	940
87	89	931
88	90	923
89	90	916
90	90	908
91	91	901
92	91	895
93	92	888
94	92	880
95	92	873
96	93	867
97	93	861
98	93	854
99	94	848
100	94	842
101	95	836
102	95	830
103	95	824
104	96	818
105	96	812
106	96	806
107	97	801
108	97	796
109	97	791
110	98	786
111	98	781
112	98	776
113	99	771
114	99	767
115	100	762
116	100	756
117	100	751
118	100	746
119	101	743
120	101	739
121	102	735
122	102	731
123	103	727
124	103	723
125	103	718
126	103	713
127	104	710
128	104	706
129	105	702
130	105	699
131	105	695
132	106	691
133	106	688
134	106	685
135	107	681
136	107	678
137	108	675
138	108	672
139	108	668
140	109	664
141	109	661
142	109	658
143	110	655
144	110	652
145	111	650
146	111	646
147	111	643
148	112	640
149	112	638
150	112	634
151	113	631
152	113	629
153	114	626
154	114	623
155	114	620
156	115	617
157	115	614
158	115	612
159	116	609
160	116	606
161	116	603
162	117	601
163	117	598
164	117	596
165	118	594
166	118	591
167	118	589
168	119	586
169	119	583
170	119	581
171	120	578
172	120	575
173	120	573
174	121	571
175	121	569
176	121	566
177	122	564
178	122	562
179	123	560
180	123	559
181	123	556
182	124	554
183	124	553
184	125	550
185	125	548
186	125	546
187	126	544
188	126	542
189	126	540
190	127	538
191	127	536
192	127	534
193	128	532
194	128	530
195	129	529
196	129	527
197	129	525
198	130	523
199	130	521
200	130	520
201	131	518
202	131	516
203	131	514
204	132	512
205	132	511
206	133	509
207	133	508
208	133	506
209	134	505
210	134	503
211	135	502
212	135	500
213	135	498
214	136	497
215	136	496
216	137	494
217	137	493
218	137	492
219	138	490
220	138	488
221	139	487
222	139	485
223	139	484
224	140	482
225	140	481
226	140	479
227	141	478
228	141	476
229	141	475
230	142	473
231	142	471
232	142	470
233	143	468
234	143	467
235	144	466
236	144	464
237	144	463
238	145	462
239	145	460
240	145	459
241	146	457
242	146	456
243	147	455
244	147	454
245	147	453
246	148	452
247	148	450
248	149	449
249	149	448
250	149	446
251	150	445
252	150	444
253	150	443
254	151	441
255	151	440
256	152	439
257	152	438
258	152	436
259	153	435
260	153	434
261	153	433
262	154	432
263	154	431
264	154	429
265	155	428
266	155	427
267	156	426
268	156	425
269	156	423
270	157	422
271	157	421
272	157	420
273	158	419
274	158	418
275	158	416
276	159	415
277	159	414
278	159	413
279	160	412
280	160	411
281	161	410
282	161	409
283	161	408
284	162	407
285	162	406
286	163	405
287	163	404
288	163	402
289	164	401
290	164	401
291	164	400
292	165	398
293	165	397
294	166	396
295	166	395
296	166	394
297	167	393
298	167	393
299	168	392
300	168	391
301	168	390
302	169	389
303	169	387
304	169	387
305	170	385
306	170	384
307	170	383
308	171	383
309	171	381
310	171	380
311	172	379
312	172	379
313	172	377
314	173	376
315	173	375
316	173	374
317	174	373
318	174	372
319	174	371
320	175	371
321	175	370
322	176	369
323	176	368
324	176	367
325	177	366
326	177	365
327	177	364
328	178	363
329	178	362
330	178	361
331	179	360
332	179	359
333	179	358
334	179	357
335	180	356
336	180	355
337	180	354
338	181	352
339	181	351
340	181	350
341	181	349
342	182	348
343	182	347
344	182	346
345	182	345
346	183	344
347	183	343
348	183	343
349	184	342
350	184	341
351	184	340
352	184	339
353	185	338
354	185	337
355	185	336
356	186	335
357	186	334
358	186	333
359	187	333
360	188	333
361	188	332
362	188	331
363	189	330
364	189	329
365	189	328
366	190	327
367	190	326
368	190	325
369	190	325
370	191	324
371	191	323
372	191	322
373	192	321
374	192	320
375	192	319
376	193	319
377	193	318
378	193	317
379	193	316
380	194	315
381	194	314
382	194	313
383	195	312
384	195	311
385	195	311
386	195	310
387	196	309
388	196	308
389	196	307
390	196	306
391	197	305
392	197	304
393	197	304
394	197	303
395	198	302
396	198	301
397	198	300
398	199	299
399	199	298
400	199	298
401	199	297
402	200	296
403	200	295
404	200	294
405	201	294
406	201	293
407	201	292
408	201	291
409	202	291
410	202	290
411	202	289
412	203	288
413	203	287
414	203	286
415	203	286
416	204	285
417	204	284
418	204	283
419	204	282
420	205	282
421	205	281
422	205	280
423	206	280
424	206	279
425	206	278
426	206	277
427	207	276
428	207	276
429	207	275
430	207	274
431	208	273
432	208	272
433	208	272
434	208	271
435	209	270
436	209	269
437	209	269
438	210	268
439	210	267
440	210	266
441	210	266
442	211	265
443	211	264
444	211	263
445	211	263
446	212	262
447	212	261
448	212	260
449	212	260
450	213	259
451	213	258
452	213	257
453	213	257
454	214	256
455	214	255
456	214	255
457	215	254
458	215	253
459	215	253
460	215	252
461	216	251
462	216	251
463	216	250
464	217	249
465	217	249
466	217	248
467	217	247
468	218	246
469	218	246
470	218	245
471	218	244
472	219	244
473	219	243
474	219	242
475	220	242
476	220	241
477	220	240
478	220	240
479	221	239
480	221	238
481	221	238
482	221	237
483	222	236
484	222	236
485	222	235
486	222	234
487	223	234
488	223	233
489	223	232
490	223	232
491	224	231
492	224	230
493	224	230
494	225	229
495	225	228
496	225	228
497	225	227
498	226	226
499	226	226
500	226	225
501	226	225
502	227	224
503	227	223
504	227	223
505	228	222
506	228	221
507	228	221
508	228	220
509	229	220
510	229	219
